-1252.6,-1174.4,-2127.8,-4454.8,-7069.2,-8596,-8869,-8880.7,-9306.9,-9570.3,-8599.9,-6175.1,-3113.6,-257.27,2264.2,4669,6874.8,8580.4,9775,10694,11222,10764,9007.9,6597.2,4674.8,3771.6,3424.6,2940.2,2214.4,1579.3,1093.7,415.45,-576.91,-1414.3
895.29,625.17,-168.67,-94.085,612.38,-1219,-8810.3,-20948,-31475,-34256,-28527,-18921,-10606,-5246.9,-1514.9,1915.8,5044.6,7654.4,10243,13226,15931,17187,16756,15565,14497,13493,12081,10306,8697.2,7505.9,6441.8,5189.1,3807.4,2498.6
-121.38,-315.49,-1921.3,-4444.6,-6664.2,-7809.2,-8232.9,-8779.4,-9616.2,-9954.8,-8952.4,-6633.2,-3749.4,-903.42,1899.1,4819.1,7605.7,9666.8,10624,10606,9992.7,9060.9,7928.9,6695.1,5457.8,4231.1,2983.2,1792.1,864.12,333.8,95.952,-106.69,-449.38,-910.28
-53.461,-320.5,-333.95,-69.227,-63.302,-1039.9,-3189.9,-5781.8,-7555.7,-7632.5,-6131,-3932.2,-1865.8,-143.68,1471.4,3098.2,4482.7,5293.8,5520.4,5453.7,5310.9,5008.7,4369.7,3476.9,2709,2383.9,2406.1,2318.7,1721.5,649.03,-447.31,-1086.6,-1151.4,-931.44
-221.46,110.04,355.16,471.46,271.39,-658.69,-2618,-5211.3,-7269,-7636.8,-6165.2,-3826.2,-1787,-444.97,588.25,1736.8,2948.8,3923.2,4554,4936.7,5066.1,4816.6,4267.9,3803.4,3698.8,3732.4,3430.9,2691.1,1942.1,1610.6,1608,1516.3,1156.9,728.79
1669.4,1303.6,827.85,-344.78,-2277.7,-4393.2,-6073.2,-7200.7,-8007.1,-8524.9,-8408.5,-7324,-5358.7,-2945.2,-467.87,1938.7,4244,6333.6,8030.6,9215.8,9837,9836.9,9170.7,7919,6330.5,4720,3332.4,2279.5,1526.8,909.41,237.83,-521.63,-1194.3,-1608.8
-2129,-2470,-2514,-2018,-1409.4,-1630.2,-3214,-5565.1,-7328.7,-7540.2,-6361.3,-4715.6,-3371.5,-2469.9,-1771.1,-1063.6,-249.37,755.44,1957.4,3122.6,3852.8,3926.1,3503.6,2934.4,2402.3,1840.6,1153.7,407.05,-236.88,-678.92,-896.85,-849.21,-486.4,96.529
-577.66,-1141.2,-2299.4,-2742.7,-1629,-974.42,-4783.8,-14711,-26903,-34312,-32734,-24346,-15107,-9197.5,-6375.9,-4091.6,-856.71,2936.4,6535,9894,13113,15708,17049,17207,16810,16157,14954,13043,10902,9119.5,7638.4,5968.8,4081.2,2643.8
-483.5,-574.74,-1455,-3100.1,-4870.4,-6192.9,-7153.4,-8171.1,-9169.9,-9393.7,-8183.7,-5743.8,-2919.7,-301.45,2206.7,4886.4,7531.3,9504.6,10418,10524,10329,9952,9053,7402.1,5371.3,3706.6,2807.2,2340.6,1652.7,518.3,-617.17,-1166.1,-1066.2,-817.76
-1022.8,-363.16,-615.11,-2162.6,-4374.4,-6272,-7462.1,-8290.1,-9132.1,-9742.6,-9421.1,-7738.2,-4965.9,-1813.5,1130.2,3667.4,5869.6,7846.1,9603.6,10986,11693,11458,10320,8694.7,7099.8,5783,4667.5,3635.9,2746.2,2094.1,1567.4,913.64,85.443,-625.77
580.96,977.11,624.58,-783.67,-2900,-5075.5,-6868.8,-8168.5,-8961.4,-9170.7,-8755.7,-7822.6,-6503.1,-4742.5,-2326.5,812.66,4338.7,7599.2,9987.8,11256,11551,11216,10555,9696.1,8618.5,7284.7,5769.5,4264.1,2946,1849.9,889.95,16.675,-674.86,-1024.3
-382.01,59.983,102.19,-93.605,-92.148,-107.03,-1028.4,-3221.1,-5614.4,-6481.8,-5153.2,-2601.8,-243.89,1482.7,3101.9,4991.2,6798.1,7978,8460.3,8537,8369.2,7930.3,7307.1,6691.5,6053.8,5154.1,4008.4,3056,2624.2,2426.6,1913.5,1031.3,268.72,-89.248
